mol_id,ligand invalidity,ligand invalid atoms,ligand atomic energies,ligand HES,ligand atom types,ligand information entropy,ligand information entropy invalidity,pose invalidity,bound ligand energy,isolated ligand energy,binding energy,pose HES
0,0,,"[ -2.3533895 -21.046577   -5.118757   -3.2876213   6.526732   -4.6006722
  -4.0795937  -8.767698   -5.242445   -3.0679593   6.6192536 -13.374456
  -5.3797727  -4.8109894  -0.7903485  -1.3910669  -9.984473    1.6216373
  -6.1879954   7.145763   12.657593   15.141498    9.164872   -4.854351
  -3.1413305  -2.1552744  -2.807727    4.261256   -1.1683722  -1.5712904
  -2.6604512  -2.2159193  -3.1387613  -2.976235   -0.9187289  -2.9784455
  -3.0194042  -4.166977   -1.1598741   0.8633813   1.1517837  -1.596481
   1.4309838  -0.7682096  -2.1281188  -3.1747186  -3.6504514]",0.0,"['O' 'C' 'N' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'N' 'C' 'O' 'C' 'C' 'C' 'N' 'C'
 'C' 'C' 'C' 'C' 'N' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.925541059961362,0,0,-105.0795,-83.150185,-18.429688,0.0
1,0,,"[ -3.5779648   -3.0789258   -6.467644   -11.900344    -7.066387
  -3.400956    11.937542    -6.854673    -4.423308     0.76941514
   0.8392571  -18.82044      1.7477547  -13.436936    -7.2010818
  -5.326736    -1.766136    -7.4186716   -4.5540113   16.065681
  23.927992    -4.3308077    0.5962455   -2.0728557   -1.2246269
  -2.2510185   -2.563115    -2.9341674    1.2341585   -1.9315742
  -3.1044967   -5.1526318    1.1117893    9.841983    -3.1530044
  -2.9802473   -2.2797132   -5.2173204   -3.2645202   -2.6347156
  -2.3049421   -1.4347205    4.376403  ]",0.0,"['O' 'C' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'N' 'C' 'C' 'N'
 'C' 'N' 'O' 'C' 'O' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.8853835409415234,0,0,-88.7327,-81.68047,-16.865234,0.0
2,0,,"[-3.967038   -8.787304   -3.5853815  -4.406828   -7.756301    1.846431
 -7.703079   -7.3667836  -6.8551497   1.4117064  -2.6248605  -9.426093
 -0.44456014  2.2546375  -6.0585423  -3.0234854  -5.503197    2.120233
 -2.0384967  -3.5643132  29.752842   -2.9884644  -3.7427242  -3.8345463
 17.249128   -1.3365024   2.884169   -1.8581073  -0.57510984 -2.6532605
 -2.6713274  -2.887683   11.292151   -2.3541448  -3.2002048  -4.300701
 -5.810577   -3.8588157 ]",0.0,"['O' 'C' 'O' 'C' 'C' 'C' 'N' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'C' 'C' 'N' 'C'
 'O' 'N' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H']",0.0,0,0,-64.562645,-56.372284,-18.375,0.0
3,0,,"[ -0.94967276   1.7538412   -5.2369466    0.58108187   1.1477745
  -8.576061    -6.0602975   -5.7391334   -2.4569242    8.254485
   5.581503    -6.97144     -3.5416808    0.719802   -10.711707
  -7.370986   -17.31856     -3.1574233   -0.61650574 -13.008928
  -4.2224655   -1.9370109   -2.1400933    0.73707163   0.7229712
  -4.8066535   -2.6720254   -3.3036177   -3.111416    -2.3229492
  -1.9590381   -3.2637236   -2.6905866   -3.1466043   -2.1341941
   1.1274953   -3.1683936   -3.0003955   -3.2790928    2.1746542
   4.8837004    5.1214843 ]",0.0,"['O' 'C' 'O' 'C' 'C' 'C' 'C' 'C' 'N' 'N' 'N' 'C' 'C' 'O' 'C' 'N' 'C' 'C'
 'O' 'C' 'O' 'O' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,0,-106.44709,-106.06866,-3.9453125,0.0
4,0,,"[ 1.0363616e+01 -7.0608215e+00 -3.6059344e+00 -1.2328261e+01
  3.0148705e+01 -3.6611481e+00 -7.2490473e+00 -3.0283776e-01
  1.1904742e+01 -3.4036012e+00 -2.8388033e+00  1.5524443e+00
  1.1682525e+01 -4.9916134e+00 -3.6919122e+00 -1.8891743e+01
  2.9627847e-02  3.9190302e+00 -3.1395471e+00 -3.0554106e+00
 -3.2170129e+00 -3.1502275e+00 -3.0456598e+00  8.4003019e+00
 -4.8898825e-01  2.6738962e+01 -1.9428303e+00 -2.6324780e+00
 -8.4382248e-01 -1.2453623e+00 -2.1896756e+00 -2.3856044e+00
  4.6839557e+00 -7.1233857e-01  3.9443359e-01 -4.3358731e+00
 -5.0708971e+00 -5.7745707e-01  2.9921441e+00]",0.0,"['O' 'C' 'C' 'O' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'O' 'C' 'C' 'N' 'C' 'N' 'O'
 'O' 'F' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H']",0.12847909113236156,0,0,-8.137656,6.7515793,-16.675781,0.0
5,0,,"[ -2.52116    -20.956278     1.5640042   -1.0215725   -0.55611366
   2.5824811   -4.6989617   -1.0335577   -2.2084718   -5.059362
   0.1628248  -13.292588    -0.7276291   -7.327499    -2.9039187
   4.6994805   -6.726662    -0.44644532   1.6150173   24.606726
   4.8909254    3.9682293   -8.962593     0.31464645  -1.4892279
  -2.4158776   -0.49099544  18.624329    -3.5629935   -1.2093662
  -0.86992455  -2.2610338   -1.0954845   -2.3265555   -2.375244
  22.879898    -2.4520245   -1.1063583    1.489727    -2.3968022
  -2.8325016   -4.914535    -6.7676163   -5.5128326   -2.3370867
  -3.1530418   -2.9508097 ]",0.0,"['O' 'C' 'N' 'N' 'C' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'N' 'C' 'C' 'N' 'S' 'O'
 'O' 'N' 'C' 'N' 'N' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.9715631013842971,0,0,-39.64327,-43.56484,-12.253906,0.0
6,0,,"[ 24.270002    16.741392   -12.36194     -4.826092    -3.3708043
  -8.244442    -0.2488288   -3.6895466   -3.6630247   -7.689653
  -1.3833504    0.46975127  -2.960814     0.16453545   9.611698
  -0.05755528  -2.3175426    2.2345703   -3.2409208    1.4481103
  -2.9677892   -3.0747097   -0.729492     1.4673454   -2.7161536
   0.94399357  -1.6070901    0.03461852  -2.260569    -2.5939658
  -3.1364686   -0.5757144    3.0297127   -3.429426    -3.419051
  -5.1349688    1.4266231   -0.07344442]",0.0,"['O' 'N' 'C' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'O' 'C' 'C' 'O' 'N' 'O' 'O' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H']",0.9052974980762535,0,0,-30.393398,-23.931005,-18.789062,0.0
7,1,"[(11, 'N', 45.37), (41, 'H', 58.001)]","[  1.9506791   -4.016718    -3.5720823   -7.7559257   11.039415
  -9.869629    -7.817594    16.603691    -2.2484908   -7.3837695
  45.37016      7.5550876   -3.0394926   16.51562      7.6340313
   0.19901256 -11.034367     0.70272726 -17.803944   -11.246128
  -7.5635757   -3.0433228   -2.721301    -3.512005    -2.385034
  -1.2912378   -0.19276895  -2.4406602   -0.6653862   -0.37869868
   1.597452    -2.1292546   -1.4516746    2.2683482   23.921877
  -4.0223026   -4.042272    13.467783     0.60517925  -1.8309878
  58.0012      -0.6381607   -2.754649    -1.081975    -2.4190764
  -4.8435497   -2.1354358   -2.6702888   -2.611517     7.9955454
  -1.0828338   -3.0998034   -2.7727134   -2.8986535 ]",32.03436077880859,"['O' 'C' 'O' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'N' 'C' 'C' 'C' 'C' 'O' 'C' 'O'
 'C' 'O' 'N' 'C' 'C' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.7901706872735819,0,0,25.332094,62.96053,-53.94336,32.03436077880859
8,0,,"[ -8.978462   -11.939589    -3.0419295  -12.087871    -0.4062939
   0.35215864  -8.9954605    0.20262468  -6.8158107   -7.4859996
  -9.089365    -9.356559    -0.63598     10.901349    -5.203166
   0.36155754  -6.280436     7.942492     0.3152438    2.9608798
   0.64733344  -3.1936934   -1.5647804   -2.533913    -0.13426685
   3.221283    -3.3175244   -2.0706077   -2.632944    -2.2546756
  -1.990816     3.8365476   -3.271402    -3.0992346   -4.6551647
  -2.5728056   -3.3729627   -2.4422178   -5.9664264 ]",0.0,"['O' 'C' 'N' 'C' 'C' 'N' 'C' 'O' 'C' 'C' 'C' 'C' 'O' 'N' 'C' 'O' 'C' 'N'
 'N' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H']",0.0,0,0,-118.6445,-104.64889,-27.46289,0.0
9,0,,"[ -0.66606843 -22.58025     -3.7389593   -2.095695     4.772429
  -9.055213    -6.9511642   -5.8837943   -7.048303    15.836561
 -10.83335     -2.5888326   -9.739583    -3.5075386   -2.2019386
  -2.0097303    0.0903433    1.1491494    6.522478     5.139075
  -1.1126359   -4.084606    -5.638203    -2.4035766   -0.60497636
  -0.4562993   -0.33936572  -2.1715884   -1.3636575    3.108593
  -1.6836965   -2.8101375   -2.9720197   -3.2625585    1.481667
  18.172197     0.1457495   -1.8185644   -1.9557695   -0.802272
  -1.6561464    2.542482  ]",0.0,"['O' 'C' 'N' 'C' 'C' 'C' 'C' 'N' 'C' 'O' 'C' 'O' 'C' 'C' 'O' 'C' 'O' 'C'
 'C' 'C' 'O' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,0,-83.74029,-65.07577,-21.199219,0.0
10,0,,"[ -3.4144864  -10.628374    -0.49801648  -8.399404    -7.049451
  -6.7548747   -9.320101   -10.01865     -3.3669033   -6.858942
  -2.4898717   -6.0148015    3.718343    -3.698649    -6.902485
  -1.4666371  -11.079191    -3.729294   -10.581542    -3.4241252
  -5.573879    32.07102     -3.292829    -2.466703    -1.858941
  -1.6574923    0.14511     -2.9215102    2.1841326   -1.1754162
  -0.45548624   3.9522705   -2.353224     0.23670225   3.1751084
  -0.8712864    2.9844363   -2.273265     4.2379465    3.7552946
  -0.85488445  -1.5750812   -0.77336055  -3.0327227   -3.4503446
  -3.1025574 ]",0.0,"['O' 'C' 'O' 'C' 'C' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'O' 'C' 'C' 'O' 'N' 'C'
 'C' 'C' 'O' 'O' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,0,-97.83232,-96.924416,-5.263672,0.0
11,0,,"[ -1.6322091  -18.693384    -6.947003     7.193513   -11.792928
  -2.2667785   -0.626354    -4.295306   -12.958295    -1.021195
  -6.0072923    2.615672     0.60852623   2.8455856    0.7852333
  -3.8277934   21.265373    -9.663497    -0.75218576  -3.138435
   2.3696043    0.43175614   3.346565     2.3647354    4.771259
  -3.1293745   -3.1814637   -4.378457     0.3225446    2.0415237
  -3.9706705   -2.322185    -2.6742353   -0.24645093  -2.9682739
   2.286166     0.45973065   0.02273914  -1.6671073   -1.282698
  -2.1892917    3.5117738   -3.3527803   -2.626971     1.9824007
   2.360347    -4.4179645   -3.5884106 ]",0.0,"['O' 'C' 'O' 'C' 'C' 'C' 'C' 'C' 'C' 'S' 'C' 'C' 'C' 'C' 'C' 'C' 'N' 'C'
 'O' 'C' 'O' 'O' 'N' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,0,-87.88095,-64.033936,-22.621094,0.0
12,1,"[(11, 'C', 42.247)]","[-0.05650723  2.8342662  -7.763215   10.12773    27.69505    -7.4573216
 -7.6242337  -7.2517037  24.801462    4.1662035  42.24687    -6.4964523
 -2.6623702  -1.8474753   1.8975438   3.710207    0.33778876 -3.1199281
 -2.9666133  -2.3947258   0.8379058  -0.49699363 -0.07235251  1.2611395
 -2.1348677 ]",9.43686813354492,"['O' 'C' 'C' 'N' 'O' 'C' 'C' 'C' 'C' 'O' 'C' 'N' 'C' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,0,50.026325,67.57141,-18.480469,9.43686813354492
13,1,"[(4, 'C', 47.752), (12, 'C', 38.842)]","[-22.517305   -19.262325    -6.703477    47.751743    -3.7918181
  -4.3650866   -3.92546      2.526838    -5.750695    -6.429791
  -6.167574    38.841618    -2.5651984   -5.7708364    1.5967101
  -7.2324986   -6.6328444    0.57173336  -3.226837    -0.90069765
  28.051521    -5.140316    -2.307089    -1.505562     1.3232415
  -1.2636386   -2.2160134   -2.7461655   -1.391491    -2.7606103
  -1.7483628   19.84358     -2.1187856   -2.7396545   -2.7021334
  -0.6422113    3.8989692   -3.7989168   -2.380339    -2.9336932
   3.0643108 ]",20.9733609008789,"['C' 'C' 'C' 'C' 'N' 'C' 'O' 'C' 'C' 'C' 'O' 'C' 'C' 'C' 'O' 'C' 'C' 'O'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H']",0.9081310842318691,0,1,546.8209,3.8328407,1093.1406,20.9733609008789
14,1,"[(30, 'H', 62.818), (36, 'H', 37.51)]","[-1.1249401e+01 -4.6223283e+00  6.5031805e+00 -3.7806396e+00
 -3.5805101e+00  2.2163218e+01 -5.1867759e-01  4.0040898e+00
  5.1017156e+00 -4.3121610e+00 -4.9168878e+00 -6.9646945e+00
 -1.6359403e+00  4.1139712e+00  7.7863708e+00 -5.6009374e+00
  4.7818611e+01 -3.1809654e+00  1.5272360e-01 -2.6550746e+00
 -3.4865463e+00 -3.1313905e-01  1.9540681e+00 -2.2366946e+00
 -2.5372243e+00 -2.6584439e+00 -3.2159004e+00 -7.7171594e-02
 -4.2544641e+00  6.2818386e+01  4.6129303e+00 -8.4903002e-01
 -3.3151126e+00 -2.8362122e+00 -3.0478177e+00  3.7509579e+01
  4.9221780e-02 -1.0403783e-01]",32.20796478271484,"['C' 'C' 'C' 'C' 'C' 'N' 'O' 'C' 'C' 'O' 'C' 'C' 'C' 'O' 'C' 'N' 'O' 'O'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H']",0.8761667585133929,0,1,279.0263,122.63806,324.19336,32.20796478271484
